"","aka","date","page_number","partof_title"
"424","http://www.loc.gov/resource/sn83025582/1774-07-15/ed-1/?sp=1","1774-07-15",1,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"425","http://www.loc.gov/resource/sn84024739/1775-01-14/ed-1/?sp=1","1775-01-14",1,"the virginia gazette (williamsburg [va.]) 1736-1781"
"426","http://www.loc.gov/resource/sn84024739/1775-12-23/ed-1/?sp=1","1775-12-23",1,"the virginia gazette (williamsburg [va.]) 1736-1781"
"427","http://www.loc.gov/resource/sn84024739/1776-05-25/ed-1/?sp=1","1776-05-25",1,"the virginia gazette (williamsburg [va.]) 1736-1781"
"428","http://www.loc.gov/resource/sn84024739/1769-05-11/ed-1/?sp=1","1769-05-11",1,"the virginia gazette (williamsburg [va.]) 1736-1781"
"429","http://www.loc.gov/resource/sn84024739/1770-06-14/ed-1/?sp=6","1770-06-14",6,"the virginia gazette (williamsburg [va.]) 1736-1781"
"430","http://www.loc.gov/resource/sn84024739/1769-07-06/ed-1/?sp=2","1769-07-06",2,"the virginia gazette (williamsburg [va.]) 1736-1781"
"431","http://www.loc.gov/resource/sn84024742/1777-10-17/ed-1/?sp=2","1777-10-17",2,"the virginia gazette (williamsburg, va.) 1775-1780"
"432","http://www.loc.gov/resource/sn84024741/1773-06-17/ed-1/?sp=6","1773-06-17",6,"the virginia gazette (williamsburg, va.) 1766-1776"
"433","http://www.loc.gov/resource/sn84024741/1773-07-08/ed-1/?sp=2","1773-07-08",2,"the virginia gazette (williamsburg, va.) 1766-1776"
"434","http://www.loc.gov/resource/sn84024741/1773-08-12/ed-1/?sp=2","1773-08-12",2,"the virginia gazette (williamsburg, va.) 1766-1776"
"435","http://www.loc.gov/resource/sn84024741/1773-11-25/ed-1/?sp=2","1773-11-25",2,"the virginia gazette (williamsburg, va.) 1766-1776"
"436","http://www.loc.gov/resource/sn84024741/1770-05-31/ed-1/?sp=1","1770-05-31",1,"the virginia gazette (williamsburg, va.) 1766-1776"
"437","http://www.loc.gov/resource/sn84024739/1775-10-14/ed-1/?sp=1","1775-10-14",1,"the virginia gazette (williamsburg [va.]) 1736-1781"
"438","http://www.loc.gov/resource/sn84024739/1776-02-17/ed-1/?sp=1","1776-02-17",1,"the virginia gazette (williamsburg [va.]) 1736-1781"
"439","http://www.loc.gov/resource/sn84024739/1775-09-09/ed-1/?sp=1","1775-09-09",1,"the virginia gazette (williamsburg [va.]) 1736-1781"
"440","http://www.loc.gov/resource/sn84024739/1768-12-22/ed-1/?sp=1","1768-12-22",1,"the virginia gazette (williamsburg [va.]) 1736-1781"
"441","http://www.loc.gov/resource/sn84024741/1774-06-09/ed-1/?sp=5","1774-06-09",5,"the virginia gazette (williamsburg, va.) 1766-1776"
"442","http://www.loc.gov/resource/sn84024741/1768-06-09/ed-1/?sp=1","1768-06-09",1,"the virginia gazette (williamsburg, va.) 1766-1776"
"443","http://www.loc.gov/resource/sn83021193/1772-01-23/ed-1/?sp=4","1772-01-23",4,"the massachusetts spy (boston [mass.]) 1770-1772"
"444","http://www.loc.gov/resource/sn83021193/1772-03-26/ed-1/?sp=3","1772-03-26",3,"the massachusetts spy (boston [mass.]) 1770-1772"
"445","http://www.loc.gov/resource/sn83021193/1772-06-25/ed-1/?sp=2","1772-06-25",2,"the massachusetts spy (boston [mass.]) 1770-1772"
"446","http://www.loc.gov/resource/sn83021193/1772-10-01/ed-1/?sp=3","1772-10-01",3,"the massachusetts spy (boston [mass.]) 1770-1772"
"447","http://www.loc.gov/resource/sn83021194/1772-12-04/ed-1/?sp=3","1772-12-04",3,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
